id	title	page_start	page_end	year	citations	conference	keywords
164549	Search lessons learned from crossword puzzles	210	215	1990	66	National Conference on Artificial Intelligence	['Local consistency', 'Computer science', 'Artificial intelligence', 'Backtracking', 'Backjumping', 'Machine learning']
164942	Quantifying Visual Similarity in Clinical Iconic Graphics	338	345	2005	19	Journal of the American Medical Informatics Association	['Hierarchical clustering', 'Graphics', 'USable', 'Data mining', 'Computer science', 'Sorting', 'Graphical user interface', 'Natural language processing', 'Artificial intelligence', 'User interface', 'Computer graphics', 'Visual perception']
165983	On the structure of recognizable languages of dependence graphs	7	22	1993	1	Theoretical Informatics and Applications	['Graph', 'Combinatorics', 'Grammar', 'Homomorphism', 'Mathematics']
166310	When Cell Phones Become Travel Buddies: Social Attribution to Mobile Phones in Travel	82	93	2013	18	Information and Communication Technologies in Tourism	['Mobile technology', 'Advertising', 'Psychology', 'Tourism', 'Attribution', 'Mobile phone', 'Perception', 'Destinations', 'Personality']
167261	All brutes are Subhuman: Aristotle and Ockham on private negation	429	461	2003	4	Synthese	['Syllogism', 'Privative', 'Negation', 'Intensifier', 'Philosophy', 'Epistemology', 'Neoplatonism', 'Linguistics', 'Expressive power']
167889	A Semantic Algebra for Modularized Description Logics Knowledge Bases.			2009	15	Description Logics	['Computer science', 'Description logic', 'Theoretical computer science']
170076	Farthest Neighbor Voronoi Diagram in the Presence of Rectangular Obstacles.	243	246	2005	0	Canadian Conference on Computational Geometry	['Power diagram', 'Discrete mathematics', 'Combinatorics', 'Disjoint sets', 'Centroidal Voronoi tessellation', 'Shortest path problem', 'Voronoi diagram', 'Weighted Voronoi diagram', 'Time complexity', 'Mathematics', 'Geodesic']
171006	Massive Storage Management Strategy Based on Storage Pool and Volume.	2167	2172	2007	0	International MultiConference of Engineers and Computer Scientists	['Computer science', 'Storage management', 'Artificial intelligence', 'Machine learning', 'Distributed computing']
171057	An Adaptive Memory Management Protocol for Time Warp Simulation.	201	210	1994	3	Measurement and Modeling of Computer Systems	['Interleaved memory', 'Computer science', 'Parallel computing', 'Adaptive memory', 'Real-time computing']
175092	Symbolic Derivation of Different Class of High-order Compact Schemes for Partial Differential Equations	93	100	1999	1	Computer Algebra in Scientific Computing	['Discrete mathematics', 'Computer science', 'Mathematical analysis', 'Finite difference', 'Method of characteristics', 'Numerical partial differential equations', 'Compact stencil', 'First-order partial differential equation', 'Stochastic partial differential equation', 'Partial differential equation', 'Multigrid method']
176264	Receive antenna selection for uplink multiuser MIMO systems over correlated rayleigh fading channels	1	5	2011	5	Wireless Personal Multimedia Communications	['Rayleigh fading', 'Computer science', 'Control theory', 'Fading', 'Signal-to-noise ratio', 'Communication channel', 'MIMO', 'Multiplexing', 'Spatial multiplexing', 'Telecommunications link']
176769	Co-operative expert systems	511	526	1986	5	European Conference on Artificial Intelligence	['Software engineering', 'Computer science', 'Expert system', 'Artificial intelligence', 'Machine learning', 'Legal expert system']
177064	Harmonic filtering for joint estimation of pitch and voiced source with single-microphone input.	309	312	2005	2	Conference of the International Speech Communication Association	['Computer science', 'Harmonic filtering', 'Speech recognition', 'Microphone']
181698	Conceptual Indexing: Practical Large-Scale AI for Efficient Information Access	1180	1185	2000	4	National Conference on Artificial Intelligence	['Procedural knowledge', 'Data science', 'Knowledge representation and reasoning', 'Domain knowledge', 'Computer science', 'Knowledge-based systems', 'Knowledge extraction', 'Artificial intelligence', 'Knowledge engineering', 'Knowledge base', 'Machine learning', 'Open Knowledge Base Connectivity']
181847	Optional finer granularity in an open learner model	478	480	2011	0	Artificial Intelligence in Education	['Intelligent tutoring system', 'Computer science', 'Granularity', 'Multimedia']
182337	Towards automatically generating graphical user interfaces from openEHR archetypes.	221	226	2006	19	Medical Informatics Europe	['openEHR', 'XML', 'Computer science', 'Semantic interoperability', 'Human–computer interaction', 'Graphical user interface testing', 'User interface design', 'User interface', 'XUL', '10-foot user interface']
182605	Engaging learning groups using Social Interaction Strategies	677	680	2010	2	North American Chapter of the Association for Computational Linguistics	['Social relation', 'Collaborative learning', 'Computer science', 'Communication in small groups', 'Knowledge management']
183860	High performance digit recognition in real car environments.			2002	13	Conference of the International Speech Communication Association	['Pattern recognition', 'Computer science', 'Speech recognition', 'Artificial intelligence', 'Digit recognition']
184619	Input sets of strongly connected automata.	187	192	1979	2	Fundamentals of Computation Theory	['Discrete mathematics', 'Computer science', 'Automaton', 'Strongly connected component']
185553	Simultaneously resettable arguments of knowledge	530	547	2012	20	Theory of Cryptography Conference	['Identification scheme', 'Computer science', 'Commitment scheme', 'Theoretical computer science', 'Knowledge extraction', 'Artificial intelligence']
188435	Bridging over problems of learning in finding strongly connected components	78	87	2005	0	Cognition and Exploratory Learning in Digital Age	['Graph algorithms', 'Structured interview', 'Cognitive science', 'Computer science', 'Bridging (networking)', 'Directed graph', 'Strongly connected component', 'Knowledge organization', 'Complex problems', 'Distributed computing']
188688	Automated identification of thoracolumbar vertebrae using orthogonal matching pursuit	126	133	2011	4	International Conference on Machine Learning	['Matching pursuit', 'Field of view', 'Computer vision', 'Vertebral anomalies', 'Pattern recognition', 'Computer science', 'Thoracolumbar vertebrae', 'Maximum intensity projection', 'Artificial intelligence', 'Thoracic vertebrae', 'First lumbar vertebra']
189951	An Extended Web Services Framework.	455	460	2002	2	Communications, Internet, and Information Technology	['Web API', 'World Wide Web', 'WS-Addressing', 'Computer science', 'Web standards', 'Data Web', 'Semantic Web', 'Web modeling', 'Web service', 'WS-Policy']
192638	Eliciting And Connecting Information Requirements: A Study Of Brokering Situations In Data Warehouse Development			2011	0	Pacific Asia Conference on Information Systems	['Data warehouse', 'Boundary spanning', 'Information management', 'Computer science', 'Requirements engineering', 'Knowledge management', 'Dimensional modeling']
192821	A Scientometrics Study of Rough Sets in Three Decades	28	40	2013	9	Rough Sets and Knowledge Technology	['Incomplete information system', 'Prosperity', 'Computer science', 'Rough set', 'Granular computing', 'Scientometrics', 'Management science']
192912	Attaching multiple personal identifiers in X.509 digital certificates	171	177	2010	0	European Public Key Infrastructure Workshop	['Internet privacy', 'World Wide Web', 'Identifier', 'Confidentiality', 'Interoperability', 'Computer science', 'Public key certificate', 'Computer security', 'Identity management', 'Public sector', 'Unique identifier', 'Information sharing']
193006	Noise Robust Feature Extraction for ASR using the Aurora 2 Database	185	188	2001	23	Conference of the International Speech Communication Association	['Demodulation', 'Mel-frequency cepstrum', 'Computer science', 'Artificial intelligence', 'Digit recognition', 'Pattern recognition', 'Word error rate', 'Harmonic', 'Feature extraction', 'Speech recognition', 'Variable frame rate', 'Database', 'Computational complexity theory']
193054	Linked Data Interfaces for Non-expert Users	702	706	2013	4	Extended Semantic Web Conference	['Semantic technology', 'World Wide Web', 'Computer science', 'Entry point', 'Open government', 'Linked data', 'Semantic Web', 'SPARQL', 'RDF', 'Cloud computing']
193554	Fully utilize feedbacks: language model based relevance feedback in information retrieval	395	405	2011	1	Advanced Data Mining and Applications	['Data mining', 'Semi-supervised learning', 'Relevance feedback', 'Computer science', 'Ranking (information retrieval)', 'Artificial intelligence', 'Vector space model', 'Language model', 'Information retrieval', 'Computational linguistics', 'Supervised learning', 'Mixture model', 'Machine learning']
193810	Carrier Interferometry/OFDM Performance in the Presence of Multipath and Impulse Noise.	527	531	2004	0	International Conference on Wireless Networks	['Multipath propagation', 'Computer science', 'Computer network', 'Electronic engineering', 'Impulse noise', 'Carrier interferometry', 'Orthogonal frequency-division multiplexing']
193936	An occam Library for Genetic Programming on Transputer Networks.	1186	1189	1996	1	Parallel and Distributed Processing Techniques and Applications	['Programming language', 'Computer science', 'Transputer', 'Parallel computing', 'occam', 'Genetic programming']
198227	Design of a Measurement Instrument for Distributed Systems.			1988	6	Measurement and Modeling of Computer Systems	['Computer science', 'Distributed computing']
198536	2008 International Conference on Parallel Processing September 8-12, 2008 Portland, Oregon Exploring Parallel I/O Concurrency with Speculative Prefetching.	422	429	2008	1	International Conference on Parallel Processing	['Computer science', 'Concurrency', 'Parallel processing', 'Parallel computing', 'Parallel I/O', 'Distributed computing']
199007	Role of Software Product Customer in the Bring Your Own Device (BYOD) Trend: Empirical Observations on Software Quality Construction	194	208	2014	1	Product Focused Software Process Improvement	['Functional requirement', 'Software deployment', 'Empirical evidence', 'Systems engineering', 'Bring your own device', 'Software', 'Empirical process (process control model)', 'Engineering', 'Software quality', 'Non-functional requirement']
205867	On-line Signature Biometrics using Support Vector Machine.	185	188	2009	3	Biometrics and Electronic Signatures	['Structured support vector machine', 'Computer vision', 'Computer science', 'Support vector machine', 'Artificial intelligence', 'Biometrics']
206076	A model for speech reverberation and intelligibility restoring filters.			1998	1	Conference of the International Speech Communication Association	['Reverberation', 'Computer science', 'Speech recognition', 'Intelligibility (communication)']
208772	Editorial - Objects, Databases, and the WWW.			1998	0	Theory and Practice of Object Systems	['World Wide Web', 'Information retrieval', 'Computer science', 'Database']
209002	A Decoding Scheme for the 4-ary Lexicodes with dm=4.			2005	0	Ars Combinatoria	['Discrete mathematics', 'Decoding methods', 'Mathematics']
211926	Synthesizing Information Systems: the APIS Project.	73	84	2007	5	Research Challenges in Information Science	['Specification language', 'Information system', 'Programming language', 'Relational database', 'Computer science', 'Formal specification', 'Interface description language', 'Formal methods', 'Data model', 'Formal verification']
212029	Moving Averages for Financial Data Smoothing	34	45	2013	8	International Conference on Information and Software Technologies	['Futures contract', 'Foreign exchange market', 'Smoothing', 'Smoothness', 'Finance', 'Lag', 'Moving average', 'Mathematics', 'Lagging', 'Technical analysis']
212088	High dimensional search using polyhedral query	176	188	2014	0	Similarity Search and Applications	['Query optimization', 'Computer science', 'Ball tree', 'Search engine indexing', 'Hypersphere', 'Curse of dimensionality', 'Artificial intelligence', 'Metric space', 'Nearest neighbor search', 'Machine learning']
214505	Intensity Calibration for Stereo Images Based on Segment Correspondence.	331	334	1998	5	Journal of Machine Vision and Applications	['Computer vision', 'Pattern recognition', 'Correlation method', 'Artificial intelligence', 'Mathematics', 'Calibration']
214894	Boolean Analysis of Classifier Sets	351	359	1989	7	international conference on Genetic algorithms	['Pattern recognition', 'Computer science', 'Binary decision diagram', 'Artificial intelligence', 'Standard Boolean model', 'Margin classifier', 'Classifier (linguistics)', 'Boolean analysis', 'Quadratic classifier']
215073	Research on a Class of Ordinary Differential Equations and Application in Metallurgy	391	397	2010	0	international conference on Information Computing and Applications	"['Slag', 'Runge–Kutta methods', 'Applied mathematics', 'Waste heat', 'MATLAB', 'Ordinary differential equation', 'Numerical analysis', 'Mathematics', ""Bernoulli's principle""]"
215100	Multiple-Valued Logic - Guest Editor's Introduction.	13	15	1988	0	IEEE Computer	['Software engineering', 'Computer science']
215274	Automatic pipeline construction for real-time annotation	38	49	2013	3	International Conference on Computational Linguistics	['Ontology', 'Data mining', 'Pipeline transport', 'Partial-order planning', 'Annotation', 'Information needs', 'Computer science', 'Expert system', 'Computational linguistics', 'Annotation Type']
215364	Improving the forward chaining algorithm for conceptual graphs rules	407	414	2004	30	Principles of Knowledge Representation and Reasoning	['Graph operations', 'Indifference graph', 'Modular decomposition', 'Computer science', 'Graph homomorphism', 'Conceptual graph', 'Algorithm', 'Theoretical computer science', 'Graph product', 'Cograph', 'Pathwidth']
215497	Fusion of local features for face recognition by multiple least square solutions	9	16	2012	1	Chinese conference on Biometric Recognition	['Least squares', 'Facial recognition system', 'Pattern recognition', 'Fusion', 'Speech recognition', 'Equivalence (measure theory)', 'Artificial intelligence', 'Linear discriminant analysis', 'Optimization problem', 'Mathematics']
215653	Sketch-It-Up! Demo	313	314	2009	5	International Conference on Entertainment Computing	['Ideation', 'Simulation', 'Computer science', 'Sorting', 'Human–computer interaction', 'Sketch']
215741	A Fuzzy Reasoning Rule-Based System for Lace Pattern Detection.	61	64	1994	3	Journal of Machine Vision and Applications	['Machine vision', 'Fuzzy set operations', 'Model-based reasoning', 'Artificial intelligence', 'Fuzzy control system', 'Reasoning system', 'Computer vision', 'Neuro-fuzzy', 'Rule-based system', 'Pattern recognition', 'Algorithm', 'Pattern detection', 'Mathematics']
217368	Algebraic Formalism over Maps.	49	65	2005	4	Brazilian Symposium on GeoInformatics	['Data mining', 'Dimension of an algebraic variety', 'Function field of an algebraic variety', 'Algebraic number', 'Algebra', 'Computer science', 'Differential algebraic geometry', 'Operator (computer programming)', 'Map algebra', 'Algebraic expression', 'Real algebraic geometry', 'Calculus']
217802	Ehipasiko: A Content-based Image Indexing and Retrieval System	436	437	2006	0	Active Media Technology	['Computer vision', 'Human–computer information retrieval', 'Automatic image annotation', 'Information retrieval', 'Computer science', 'Image retrieval', 'Search engine indexing', 'Artificial intelligence', 'Vector space model', 'Digital library', 'Text retrieval', 'Visual Word']
220776	Approximation in Concept Description Languages.	330	341	1992	18	Principles of Knowledge Representation and Reasoning	['Computer science', 'Theoretical computer science']
220998	UNDERSTANDING CHANGES IN HERITAGE ARCHITECTURE - Can We Provide Tools & Methods for Visual Reasoning?	91	100	2017	0	International Conference on Information Visualization Theory and Applications	['Data science', 'Architecture', 'Visual reasoning', 'Computer science']
221287	Solution Proposals for Japan-Oriented Offshore Software Development in China	14	24	2009	2	Software Engineering Approaches for Offshore and Outsourced Development	['Personal software process', 'Systems engineering', 'Package development process', 'Lean software development', 'Software project management', 'Software development process', 'Systems development life cycle', 'Engineering', 'Software development', 'Goal-Driven Software Development Process']
221938	Dynamic Multi-Cue Information Fusion for Robust Detection of Traffic Infrastructure.	289	293	2002	0	Journal of Machine Vision and Applications	['Object detection', 'Computer vision', 'Information integration', 'Pattern recognition', 'Computer science', 'Artificial intelligence', 'Probabilistic logic', 'Information fusion', 'Bayesian probability', 'Information filtering system', 'Probabilistic framework', 'Performance improvement']
222770	Platform Substitution and Cannibalization: The Case of Portable Navigation Devices	141	153	2012	4	International Conference on Software Business	['Telecommunications', 'Android (operating system)', 'Structural break', 'Cannibalization', 'Advertising', 'Econometric model', 'Engineering', 'Econometric analysis', 'Marketing']
223002	Finite State Machine Patterns.	401	428	1998	13	European Conference on Pattern Languages of Programs	['Engineering drawing', 'Systems engineering', 'Computer science', 'State diagram', 'Finite-state machine', 'Virtual finite-state machine', 'Mealy machine']
223055	Pedagogical Pattern: Self Test.	167	172	2000	0	European Conference on Pattern Languages of Programs	['Computer science', 'Knowledge management', 'Mathematics education', 'Self test']
223960	A Methodological Proposal for an Evolutionary Approach to Parameter Inference in MURAME-Based Problems	75	86	2014	0	Italian Workshop on Neural Nets	['Particle swarm optimization', 'Inference', 'Computer science', 'Fitness function', 'Artificial intelligence', 'Decision maker']
224561	Towards an Organizational MAS Methodology	397	404	2005	1	Conference on Artificial Intelligence Research and Development	['Social order', 'Computer science', 'Knowledge management', 'Multi-agent system', 'Organizational learning', 'Open system (systems theory)', 'Organizational studies']
225523	Adaptive localization in a dynamic WiFi environment through multi-view learning	1108	1113	2007	65	National Conference on Artificial Intelligence	['Activity recognition', 'Wireless', 'Computer science', 'Real-time computing', 'Mobile device', 'Artificial intelligence', 'Ubiquitous computing', 'RSS', 'Manifold', 'Machine learning', 'Calibration', 'Applications of artificial intelligence']
226082	A 2.7 Gcps and 7-Multiplexing CDMA Serial Communication Chip for Real-Time Robot Control with Multiprocessors	463	468	2005	0	Journal of robotics and mechatronics	['Interrupt', 'Serial communication', 'Robot control', 'Synchronization', 'Computer science', 'Synchronous serial communication', 'Field-programmable gate array', 'Chip', 'Multiplexing', 'Embedded system']
227494	A Survey of Software Reliability Models and an Application of the Bayesian Belief Networks Model.	195	201	2005	0	Software Engineering Research and Practice	['Variable-order Bayesian network', 'Computer science', 'Bayesian network', 'Artificial intelligence', 'Software quality', 'Machine learning']
228008	Illuminant Estimation: Beyond the Bases.	91	96	2000	13	Color Imaging Conference	['Computer vision', 'Maximum entropy spectral estimation', 'Spectral density estimation', 'Nonlinear algorithms', 'Pattern recognition', 'Linear model', 'Computer science', 'Daylight', 'Algorithm', 'Artificial intelligence', 'Standard illuminant', 'Black-body radiation']
228692	A method for selection of PID control strategy based on fuzzy behaviour modelling.	107	110	1999	0	European Society for Fuzzy Logic and Technology Conference	['PID controller', 'Control theory', 'Computer science', 'Fuzzy logic']
229287	OWL Ontology Development for Destination Marketing	126	136	2011	0	Metadata and Semantics Research	['Ontology', 'World Wide Web', 'Web page', 'Computer science', 'Semantic Web', 'Knowledge management', 'Tourism', 'Service provider', 'OWL-S', 'Marketing', 'Web Ontology Language', 'The Internet']
229333	MAEP: A Standard Communication Protocol for Artificial Economy - An Instance of X-SS.	1085	1088	2002	2	Joint International Conference on Information Sciences	['Computer science', 'Computer network', 'Communications protocol', 'Distributed computing']
230160	Integrating provenance into an operational data product information system	249	249	2012	0	International Provenance and Annotation Workshop	['Information system', 'Ontology', 'Data mining', 'Information retrieval', 'Computer science', 'Semantic Web', 'Provenance', 'User interface', 'Database', 'Semantics', 'Data records', 'Markup language']
232572	Querying in spaces of music information	243	255	2011	10	Integrated Uncertainty in Knowledge Modelling	['Musical notation', 'On Language', 'Information retrieval', 'Computer science', 'Knowledge extraction', 'Artificial intelligence', 'Natural language processing', 'Structuring', 'Syntax', 'Semantics']
233935	Agricultural Knowledge Management Systems in Practice: The Ability to Support Wereda Knowledge Centers in Ethiopia			2013	0	Americas Conference on Information Systems	['Traditional knowledge', 'Best practice', 'Indigenous', 'Computer science', 'Knowledge management', 'Agriculture']
234105	Learning to Merge Word Senses	1005	1014	2007	77	Empirical Methods in Natural Language Processing	['Similarity measure', 'Computer science', 'Noun', 'Exploit', 'Supervised learning', 'Artificial intelligence', 'Natural language processing', 'Cluster analysis', 'Classifier (linguistics)', 'WordNet', 'Discriminative model', 'Machine learning']
234643	Challenges in Fixpoint Computation with Multisets	273	290	2004	5	Foundations of Information and Knowledge Systems	['Data mining', 'Computer science', 'Theoretical computer science', 'Equivalence (measure theory)', 'Fixed point', 'Formalism (philosophy)', 'Semantics', 'Computation']
236116	Integrationstest - Das aktuelle Schlagwort.	293	294	1992	0	Informatik Spektrum	['World Wide Web', 'Software engineering', 'Computer science']
236829	Optimizing Network Patching Policy Decisions	424	442	2012	5	Information Security Conference	['Information technology operations', 'Software deployment', 'Computer science', 'Computer security', 'Networking hardware', 'Timeline', 'Exploit', 'Security policy', 'Malware', 'Vulnerability']
237040	Transposition Diameter and Lonely Permutations	1	12	2012	2	Brazilian Symposium on Bioinformatics	['Transposition (music)', 'Combinatorics', 'Biology', 'Upper and lower bounds', 'Permutation', 'Genome rearrangement', 'Artificial intelligence', 'Knot (unit)', 'Machine learning']
237528	Normalization of place/transition-systems preserves net behaviour	19	44	1992	2	Theoretical Informatics and Applications	['Combinatorics', 'Petri net', 'Normalization (statistics)', 'Mathematics', 'Graph labelling']
238950	Precision and negative predictive value of links between ClinicalTrials.gov and PubMed.	400	408	2012	15	American Medical Informatics Association Annual Symposium	['Transparency (graphic)', 'Information retrieval', 'Translational science', 'Clinical trial', 'MEDLINE', 'Medicine', 'Publication bias']
240820	Approximation Algorithms for Maximum Cliques in 3D Unit-Disk Graphs.	19	22	2005	12	Canadian Conference on Computational Geometry	['Approximation algorithm', 'Discrete mathematics', 'Indifference graph', 'Combinatorics', 'Computer science', 'Chordal graph', 'Clique-sum', 'Pathwidth', 'Clique problem', 'Clique (graph theory)', 'Intersection number (graph theory)']
241752	Illusion of wireless security	119	167	2010	3	Advances in Computers	['Internet privacy', 'Security through obscurity', 'Wireless security', 'Computer science', 'Asset (computer security)', 'Computer security', 'Security service', 'Cloud computing security', 'Security information and event management', 'Human-computer interaction in information security', 'Logical security']
243668	Machine learning for information extraction from XML marked-up text on the semantic web	29	36	2001	1	International Semantic Web Conference	['Data mining', 'Web intelligence', 'Semantic Web Stack', 'Computer science', 'Semantic Web', 'Relationship extraction', 'Markup language', 'World Wide Web', 'Information retrieval', 'Terminology', 'XML', 'Information extraction', 'Database']
244475	Dynamic Routing on OpenStreetMap Using Ant Colonies	58	72	2013	0	International Conference on Computational Logistics	['Shortest path problem', 'Computer science', 'Real-time computing', 'Theoretical computer science', 'Software', 'Ant colony', 'Adaptive routing']
245881	Bounds on 2-Query Locally Testable Codes with Affine Tests.			2009	0	Electronic Colloquium on Computational Complexity	['Affine transformation', 'Discrete mathematics', 'Mathematics']
246555	Fuzzy Querying: Issues and Perspectives	605	616	2000	18	Kybernetika	['Data mining', 'Information retrieval', 'Computer science', 'Fuzzy logic']
247967	Authentication Services in Mobile Networks	237	243	2002	2	Wireless Personal Communications	['Certificate policy', 'Authentication', 'X.509', 'Computer science', 'Self-signed certificate', 'Computer security', 'Public key certificate', 'Computer network', 'Certificate authority', 'Implicit certificate', 'Authorization certificate']
248911	Fuzzy clustering of the self-organizing map: some applications on financial time series	40	50	2011	28	Workshop on Self-Organizing Maps	['Fuzzy clustering', 'Data mining', 'Computer science', 'Self-organizing map', 'FLAME clustering', 'Artificial intelligence', 'Cluster analysis', 'Ambiguity', 'Benchmarking', 'Correlation clustering', 'Fuzzy logic', 'Finance', 'Machine learning']
249145	Computational Metabolism: Towards Biological Geometries for Computing.	341	368	1987	15	Artificial Life	['Computer science', 'Artificial intelligence', 'Machine learning']
251746	Re-grasping: improving capability for multi-arm-robot-system by dynamic reconfiguration	132	141	2011	7	International Conference on Intelligent Robotics and Applications	['Parallel manipulator', 'Robotic arm', 'GRASP', 'Kinematics', 'Computer science', 'Control engineering', 'Modular design', 'Robot', 'Control reconfiguration', 'Computation']
252754	The domatic numbers of factors of graphs.			2000	1	Ars Combinatoria	['Graph', 'Discrete mathematics', 'Combinatorics', 'Mathematics']
253597	Data flow Model for a Hypercube Multiprocessing Network.	351	354	1991	2	International Conference on Parallel Processing	['Computer science', 'Grid network', 'Parallel computing', 'Data flow model', 'Multiprocessing', 'Hypercube']
255264	Experiments with linear feature extraction in speech recognition.			1995	19	Conference of the International Speech Communication Association	['Pattern recognition', 'Computer science', 'Feature extraction', 'Speech recognition', 'Artificial intelligence']
255620	A method proposal for architectural reliability evaluation.	564	568	2007	1	International Conference on Enterprise Information Systems	['Software engineering', 'Computer science', 'Architecture tradeoff analysis method', 'Software reliability testing', 'Software architecture', 'Software construction', 'Software quality', 'Software verification and validation', 'Architectural pattern', 'Software measurement']
256357	Designing Query Support for Multiple Databases	207	212	1995	8	International Conference on Human-Computer Interaction	['Query optimization', 'Web search query', 'RDF query language', 'Query language', 'Query expansion', 'Computer science', 'Sargable', 'Web query classification', 'Human–computer interaction', 'Query by Example', 'Database']
258555	Shortest Paths and Game Trees	82	82	1992	6	ICGA Journal	"['Pathfinding', 'Shortest path problem', 'Computer science', 'Distance', 'Algorithm', 'Constrained Shortest Path First', ""Yen's algorithm"", 'Artificial intelligence', 'Shortest Path Faster Algorithm', 'K shortest path routing', 'Euclidean shortest path']"
258746	Empirical assessment of business model transformations based on model simulation	137	151	2012	4	International Conference on Model Transformation	['Artifact-centric business process model', 'Computer science', 'Artificial intelligence', 'Business process modeling', 'Business architecture', 'Process mining', 'Business process management', 'Pattern recognition', 'Software engineering', 'Business process discovery', 'Business Process Model and Notation', 'Business rule', 'Process management']
260313	Statistical modeling of segmental duration and power control for Japanese.			1991	4	Conference of the International Speech Communication Association	['Pattern recognition', 'Computer science', 'Power control', 'Speech recognition', 'Artificial intelligence', 'Statistical model']
260539	Reasoning about Array Segments.	62	66	1982	2	European Conference on Artificial Intelligence	['Computer science', 'Artificial intelligence', 'Machine learning']
265079	Cooperation between the Inference System and the Rule Base by Using Multiobjective Genetic Algorithms	739	746	2008	7	Hybrid Artificial Intelligence Systems	['Neuro-fuzzy', 'Pattern recognition', 'Fuzzy classification', 'Defuzzification', 'Computer science', 'Fuzzy set operations', 'Fuzzy logic', 'Artificial intelligence', 'Adaptive neuro fuzzy inference system', 'Fuzzy control system', 'Fuzzy number', 'Machine learning']
267718	A type-theoretical approach for ontologies: The case of roles	311	356	2012	11	Applied Ontology	['Intuitionistic logic', 'Ontology (information science)', 'Ontology', 'Data mining', 'Knowledge representation and reasoning', 'Problem of universals', 'Computer science', 'Description logic', 'Theoretical computer science', 'Artificial intelligence', 'Hierarchy', 'Mathematical logic']
267728	A Black-Box Tracing Technique to Identify Causes of Least-Privilege Incompatibilities.			2005	13	Network and Distributed System Security Symposium	['Black box (phreaking)', 'Principle of least privilege', 'Computer science', 'Computer security', 'Local system', 'Compromise', 'Tracing', 'Vulnerability']
268777	Two Stage Demosaicing Algorithm for Color Filter Arrays	608	620	2009	0	International Conference on Future Generation Communication and Networking	['Computer vision', 'Interpolation', 'Communication channel', 'Mean squared error', 'Algorithm', 'Demosaicing', 'Operator (computer programming)', 'Artificial intelligence', 'Color gel', 'Color filter array', 'Color difference', 'Mathematics']
268983	Dot, line, network: helping individuals make sense of New data	496	505	2013	0	International Conference of Design, User Experience, and Usability	['Graphics', 'Data science', 'Visual complexity', 'Social issues', 'Computer science', 'Inductive logic', 'Cognitive patterns', 'Human–computer interaction', 'Ubiquitous computing', 'Common ground', 'Cognitive style']
270053	Interactive listening to structured speech content on the internet.			1998	2	Conference of the International Speech Communication Association	['Web Accessibility Initiative', 'Web development', 'World Wide Web', 'Computer science', 'Active listening', 'XHTML', 'Web 2.0', 'Mobile Web', 'HTML', 'Multimedia', 'The Internet']
271214	Visualizing patterns in the air quality in mexico city with self-organizing maps	318	327	2011	2	Workshop on Self-Organizing Maps	['Data visualization', 'Environmental resource management', 'Pollutant', 'Self-organizing map', 'Air quality index', 'Environmental science', 'Air pollution']
272511	Evaluations of evidence combination rules in terms of statistical sensitivity and divergence	1	7	2014	6	International Conference on Information Fusion	['Data mining', 'Divergence', 'Computer science', 'Mean squared error', 'Artificial intelligence', 'Statistical sensitivity', 'Information fusion', 'Machine learning']
272675	Syntactic complexity of Prefix-, Suffix-, and Bifix-free regular languages	93	106	2011	1	Descriptional Complexity of Formal Systems	['Generalized star height problem', 'Discrete mathematics', 'Combinatorics', 'Formal language', 'Suffix', 'Syntactic predicate', 'Sparse language', 'Abstract family of languages', 'Cone (formal languages)', 'Pumping lemma for regular languages', 'Mathematics']
273782	Engineering education: trends and needs (panel).			1992	0	International Conference on Computer Aided Design	['Computer science', 'Engineering management', 'Engineering education']
274816	Academic Library Users and Electronic Retrieval Systems.	383	394	1994	0	Essen Symposium	['Computer science', 'Academic library', 'Multimedia']
274954	Ultra-loose algebraic specifications.	117	127	1988	4	Bulletin of The European Association for Theoretical Computer Science	['Discrete mathematics', 'Dimension of an algebraic variety', 'Algebraic number', 'Algebra', 'Mathematics']
275008	QoS Signaling for Parameterized Traffic in IEEE 802.11e Wireless LANs	67	84	2002	15	Lecture Notes in Computer Science	['IEEE 802.11b-1999', 'Network allocation vector', 'IEEE 802.11e-2005', 'IEEE 802.1X', 'Inter-Access Point Protocol', 'Computer science', 'IEEE 802.11u', 'IEEE 802.11s', 'Computer network', 'IEEE 802', 'Distributed computing']
278968	Cut-free Systems for some Modal Logics Containing S4.	39	65	1992	3	Reports on Mathematical Logic	['T-norm fuzzy logics', 'Modal μ-calculus', 'Normal modal logic', 'Accessibility relation', 'Algebra', 'Multimodal logic', 'Axiom S5', 'Mathematics', 'Dynamic logic (modal logic)', 'Modal']
282544	An effective dynamical multi-objective evolutionary algorithm for solving optimization problems with high dimensional objective space	80	89	2007	1	International Symposium on Intelligence Computation and Applications	['Continuous optimization', 'Interactive evolutionary computation', 'Population', 'Mathematical optimization', 'Evolutionary algorithm', 'Vector optimization', 'Meta-optimization', 'Multi-objective optimization', 'Imperialist competitive algorithm', 'Mathematics']
284492	Organizational Sustainability and Value Creation in Collaborative Networks	349	356	2014	0	Working Conference on Virtual Enterprises	['Incentive', 'Unified Modeling Language', 'Knowledge sharing', 'Computer science', 'Competitive advantage', 'Knowledge management', 'Sustainability organizations', 'Ethical code', 'Relational view', 'Sustainability']
